iter,emin,light,heavy,frac_l,frac_h
0,8.0,787.8370283823388,761.1741859783128,0.3577386468952734,0.3985171455050973
0,16.0,801.1684495843518,761.1741859783128,0.15005861664712777,0.5498241500586166
0,32.0,801.1684495843518,761.1741859783128,0.11781609195402298,0.6264367816091954
1,8.0,822.5875643046538,751.8646518808476,0.1469838572642311,0.3254035683942226
1,16.0,794.2983993351313,751.8646518808476,0.1916376306620209,0.437862950058072
1,32.0,794.2983993351313,766.0092343656089,0.1355421686746988,0.677710843373494
2,8.0,794.303917296688,762.8918622279571,0.3242753623188406,0.4003623188405797
2,16.0,825.715972365419,747.1858346935916,0.08695652173913043,0.3835005574136009
2,32.0,778.5978897623226,762.8918622279571,0.23283582089552238,0.6507462686567164
3,8.0,839.4404706080381,744.4612319174402,0.10654362416107382,0.26593959731543626
3,16.0,886.9300899533371,744.4612319174402,0.01718213058419244,0.3699885452462772
3,32.0,823.6105974929385,728.6313588023405,0.05714285714285714,0.29714285714285715
4,8.0,801.0109067440887,747.7357212831789,0.24745762711864408,0.2966101694915254
4,16.0,801.0109067440887,761.0545176484063,0.16515837104072398,0.5690045248868778
4,32.0,787.6921103788613,761.0545176484063,0.17647058823529413,0.6497326203208557
5,8.0,803.1719351330428,761.8794513204792,0.25069637883008355,0.42525533890436396
5,16.0,830.7002576747519,748.1152900496246,0.06858407079646017,0.39823008849557523
5,32.0,775.6436125913337,761.8794513204792,0.27044025157232704,0.6037735849056604
6,8.0,847.008016899047,761.4287309156224,0.09149722735674677,0.41312384473197783
6,16.0,789.9551595767639,761.4287309156224,0.20780711825487944,0.5568312284730195
6,32.0,804.2183739073347,732.9023022544809,0.10955056179775281,0.3595505617977528
7,8.0,805.7848072696023,770.1850505543545,0.23129836629406708,0.49097162510748066
7,16.0,805.7848072696023,752.3851721967305,0.14236902050113895,0.45558086560364464
7,32.0,787.9849289119784,734.5852938391065,0.1632047477744807,0.3620178041543027
8,8.0,793.5879118196899,777.8441997865351,0.3280701754385965,0.5578947368421052
8,16.0,793.5879118196899,762.1004877533802,0.20043572984749455,0.5642701525054467
8,32.0,793.5879118196899,746.3567757202253,0.1361111111111111,0.49722222222222223
9,8.0,817.8804003819589,749.5330295740968,0.18969957081545064,0.296137339055794
9,16.0,800.7935576799933,749.5330295740968,0.1708185053380783,0.43534994068801897
9,32.0,800.7935576799933,766.6198722760623,0.1168091168091168,0.698005698005698
10,8.0,825.545498131243,772.472665142374,0.14921465968586387,0.5270506108202443
10,16.0,807.8545538016201,754.781720812751,0.12954545454545455,0.4943181818181818
10,32.0,790.163609471997,754.781720812751,0.17630057803468208,0.569364161849711
11,8.0,843.3770805393415,749.8740705729823,0.09881061299176579,0.3211344922232388
11,16.0,796.6255755561618,765.4579055673755,0.17715617715617715,0.5815850815850816
11,32.0,796.6255755561618,765.4579055673755,0.11077844311377245,0.6976047904191617
12,8.0,808.911188823377,773.6405249032632,0.23909249563699825,0.5043630017452007
12,16.0,808.911188823377,756.0051929432063,0.13414634146341464,0.5033259423503326
12,32.0,808.911188823377,720.7345290230927,0.09809264305177112,0.2452316076294278
13,8.0,845.3457239684193,741.2261405807535,0.09211691762621789,0.254207263064659
13,16.0,810.6391961725307,752.794983179383,0.11521252796420582,0.5033557046979866
13,32.0,810.6391961725307,741.2261405807535,0.0821917808219178,0.4328767123287671
14,8.0,785.7161540419272,771.4938673462492,0.371326803205699,0.5209260908281389
14,16.0,814.1607274332831,743.0492939548933,0.10985277463193659,0.36806342015855037
14,32.0,785.7161540419272,728.8270072592153,0.18005540166204986,0.29362880886426596
15,8.0,795.1852890998001,766.2125877486881,0.3013698630136986,0.4511986301369863
15,16.0,824.1579904509122,751.7262370731321,0.0671892497200448,0.4479283314669653
15,32.0,795.1852890998001,737.239886397576,0.1440677966101695,0.3870056497175141
16,8.0,839.718833407527,756.0650055644668,0.10396475770925111,0.3814977973568282
16,16.0,791.9166460686354,756.0650055644668,0.20187793427230047,0.5258215962441315
16,32.0,803.8671929033583,756.0650055644668,0.11506849315068493,0.5726027397260274
17,8.0,783.8801490396422,765.8750316884015,0.37610619469026546,0.46017699115044247
17,16.0,801.885266390883,747.8699143371607,0.14620535714285715,0.40625
17,32.0,801.885266390883,729.8647969859201,0.1282798833819242,0.3177842565597668
18,8.0,789.3259522280202,762.8285458068477,0.3389084507042254,0.43045774647887325
18,16.0,829.0720618597791,749.5798425962615,0.06779661016949153,0.4430992736077482
18,32.0,789.3259522280202,762.8285458068477,0.150997150997151,0.6894586894586895
19,8.0,806.5018550043613,774.700012177109,0.22646536412078153,0.5417406749555951
19,16.0,790.6009335907352,758.7990907634828,0.19688542825361513,0.5406006674082313
19,32.0,806.5018550043613,774.700012177109,0.1021021021021021,0.7747747747747747
20,8.0,801.5899629439915,759.6764569400602,0.27601809954751133,0.3990950226244344
20,16.0,801.5899629439915,745.7052882720832,0.1781609195402299,0.3816091954022989
20,32.0,787.6187942760143,773.6476256080373,0.18457300275482094,0.7245179063360881
21,8.0,807.393700354633,760.8892855669977,0.22340425531914893,0.40425531914893614
21,16.0,791.8922287587545,745.3878139711194,0.20715835140997832,0.39913232104121477
21,32.0,791.8922287587545,745.3878139711194,0.15294117647058825,0.4411764705882353
22,8.0,807.3832440291924,754.2359937078347,0.25514771709937334,0.3401969561324978
22,16.0,807.3832440291924,754.2359937078347,0.1239766081871345,0.4935672514619883
22,32.0,789.6674939220732,718.8044934935964,0.16338028169014085,0.2084507042253521
23,8.0,789.9551595767639,761.4287309156224,0.37783832879200724,0.3896457765667575
23,16.0,804.2183739073347,761.4287309156224,0.15102974828375287,0.5469107551487414
23,32.0,804.2183739073347,747.1655165850516,0.10876132930513595,0.5226586102719033
24,8.0,830.1056772916903,737.5519378759948,0.13620071684587814,0.19623655913978494
24,16.0,830.1056772916903,752.977561111944,0.07529411764705882,0.4682352941176471
24,32.0,799.2544308197919,752.977561111944,0.10650887573964497,0.5769230769230769
25,8.0,809.148024651422,752.9590332461759,0.2050587172538392,0.35862691960252935
25,16.0,809.148024651422,752.9590332461759,0.1206140350877193,0.4692982456140351
25,32.0,786.6724280893236,752.9590332461759,0.17403314917127072,0.5497237569060773
26,8.0,802.5023342033461,751.5715318702179,0.25457715780296425,0.34612031386224934
26,16.0,785.5254000923034,768.5484659812606,0.23370786516853934,0.6449438202247191
26,32.0,802.5023342033461,734.594597759175,0.1111111111111111,0.3333333333333333
27,8.0,778.5341600151928,762.3020899221676,0.40942028985507245,0.4447463768115942
27,16.0,827.2303702942685,746.0700198291424,0.07057416267942583,0.3875598086124402
27,32.0,794.766230108218,762.3020899221676,0.15384615384615385,0.6182336182336182
28,8.0,798.1830689985661,750.0263595969138,0.2764227642276423,0.32791327913279134
28,16.0,830.287541933001,750.0263595969138,0.05909617612977984,0.4426419466975666
28,32.0,814.2353054657835,733.9741231296964,0.0653950953678474,0.3133514986376022
29,8.0,803.6416587105512,752.8907497206658,0.25045537340619306,0.3342440801457195
29,16.0,803.6416587105512,752.8907497206658,0.1384083044982699,0.47635524798154555
29,32.0,786.7246890472561,735.9737800573707,0.16624040920716113,0.40664961636828645
30,8.0,832.46090865639,759.4100760570977,0.13644214162348878,0.38687392055267705
30,16.0,795.9354923567438,759.4100760570977,0.16414686825053995,0.5529157667386609
30,32.0,808.1106311232926,747.2349372905489,0.09627329192546584,0.5
31,8.0,795.4956829838638,744.2187238188641,0.3103146853146853,0.256993006993007
31,16.0,829.680322427197,761.3110435405307,0.05909090909090909,0.5784090909090909
31,32.0,795.4956829838638,761.3110435405307,0.13583815028901733,0.638728323699422
32,8.0,836.1359364581461,742.1334694608905,0.10109289617486339,0.24043715846994534
32,16.0,800.8850113341753,765.6340862102045,0.13821138211382114,0.5993031358885017
32,32.0,789.1347029595183,753.8837778355474,0.15691489361702127,0.5771276595744681
33,8.0,817.323758390358,760.7340330070939,0.18739205526770294,0.4119170984455959
33,16.0,803.176327044542,746.5866016612779,0.14047619047619048,0.3952380952380952
33,32.0,803.176327044542,746.5866016612779,0.10326086956521739,0.5135869565217391
34,8.0,840.1057584718415,742.2817467704261,0.1051693404634581,0.24064171122994651
34,16.0,791.1937526211339,766.7377496957799,0.20598388952819333,0.6098964326812428
34,32.0,803.4217540838107,730.0537453077492,0.10434782608695652,0.27246376811594203
35,8.0,795.1592965686599,763.8372814232943,0.31867145421903054,0.42100538599640935
35,16.0,795.1592965686599,763.8372814232943,0.1956271576524741,0.5937859608745685
35,32.0,810.8203041413426,732.5152662779287,0.07951070336391437,0.3363914373088685
36,8.0,810.879460850307,753.2182513421891,0.21217712177121772,0.3238007380073801
36,16.0,796.4641584732776,753.2182513421891,0.17772778402699663,0.4735658042744657
36,32.0,796.4641584732776,753.2182513421891,0.11021505376344086,0.5564516129032258
37,8.0,799.2173553844302,746.3453937620449,0.28225806451612906,0.30286738351254483
37,16.0,781.5933681769684,763.9693809695067,0.27141133896260555,0.5669481302774427
37,32.0,799.2173553844302,728.7214065545832,0.11764705882352941,0.3176470588235294
38,8.0,813.750175071394,756.7644277329434,0.1903930131004367,0.4008733624454148
38,16.0,799.5037382367814,756.7644277329434,0.14819004524886878,0.5260180995475113
38,32.0,785.2573014021688,756.7644277329434,0.18313953488372092,0.622093023255814
39,8.0,787.9849289119784,770.1850505543545,0.36603088101725706,0.4977293369663942
39,16.0,894.7841990577219,734.5852938391065,0.013824884792626729,0.2868663594470046
39,32.0,805.7848072696023,752.3851721967305,0.10364145658263306,0.5490196078431373
40,8.0,789.3333141397177,743.9255770459554,0.3313559322033898,0.25508474576271184
40,16.0,789.3333141397177,759.0614894105428,0.2271689497716895,0.5273972602739726
40,32.0,789.3333141397177,759.0614894105428,0.1620253164556962,0.6050632911392405
41,8.0,805.7848072696023,752.3851721967305,0.2376068376068376,0.3452991452991453
41,16.0,805.7848072696023,770.1850505543545,0.12528735632183907,0.6505747126436782
41,32.0,787.9849289119784,770.1850505543545,0.16463414634146342,0.6951219512195121
42,8.0,817.7636352422112,766.5468940637201,0.19388646288209607,0.45065502183406114
42,16.0,868.9803764207024,749.474647004223,0.025527192008879023,0.45172031076581576
42,32.0,783.6191411232171,749.474647004223,0.1873198847262248,0.4956772334293948
43,8.0,807.3564491067104,754.204968008119,0.22944896115627822,0.36133694670280037
43,16.0,807.3564491067104,736.4878076419218,0.15041128084606345,0.2808460634547591
43,32.0,789.6392887405133,771.9221283743161,0.19101123595505617,0.6966292134831461
44,8.0,791.858904918707,745.3492284721169,0.33487940630797774,0.2699443413729128
44,16.0,776.3556794365103,760.8524539543137,0.29372937293729373,0.5742574257425742
44,32.0,776.3556794365103,745.3492284721169,0.2703488372093023,0.48546511627906974
45,8.0,842.148996578542,749.5082723913351,0.09154315605928509,0.2999128160418483
45,16.0,802.445829069739,749.5082723913351,0.15173237753882915,0.42891278375149344
45,32.0,802.445829069739,749.5082723913351,0.10479041916167664,0.5
46,8.0,807.0481884148223,766.4397492990433,0.21635434412265758,0.4565587734241908
46,16.0,820.5843347867487,752.903602927117,0.08068181818181819,0.47954545454545455
46,32.0,793.512042042896,739.3674565551908,0.15193370165745856,0.4143646408839779
47,8.0,794.2210371974123,780.4456504845182,0.3103448275862069,0.5676392572944297
47,16.0,807.9964239103065,766.6702637716239,0.13610149942329874,0.621683967704729
47,32.0,794.2210371974123,752.8948770587298,0.15625,0.5494791666666666
48,8.0,804.4027947178033,768.6575629971029,0.25471698113207547,0.4691252144082333
48,16.0,858.020642298854,750.7849471367527,0.0397196261682243,0.4252336448598131
48,32.0,786.5301788574532,768.6575629971029,0.18156424581005587,0.6899441340782123
49,8.0,828.593961482863,747.8346672496766,0.13309352517985612,0.29676258992805754
49,16.0,828.593961482863,763.9865260963139,0.06951219512195123,0.5780487804878048
49,32.0,796.2902437895885,763.9865260963139,0.14076246334310852,0.6363636363636364
50,8.0,815.8572738005965,747.5758787479742,0.19611158072696533,0.2857142857142857
50,16.0,788.5447157795477,761.2321577584987,0.2231404958677686,0.564344746162928
50,32.0,802.2009947900721,733.9195997374497,0.09696969696969697,0.37272727272727274
51,8.0,789.4077738621883,761.8794513204792,0.35591766723842194,0.41509433962264153
51,16.0,789.4077738621883,761.8794513204792,0.20090805902383654,0.583427922814983
51,32.0,789.4077738621883,761.8794513204792,0.14285714285714285,0.6444444444444445
52,8.0,799.4808131087993,769.4342307554375,0.2569444444444444,0.5052083333333334
52,16.0,784.4575219321184,769.4342307554375,0.25274725274725274,0.6153846153846154
52,32.0,769.4342307554375,754.4109395787566,0.26358695652173914,0.6059782608695652
53,8.0,805.842800879627,743.4922701683342,0.23209428830462375,0.25657298277425206
53,16.0,790.2551682018038,759.0799028461574,0.22482435597189696,0.5257611241217799
53,32.0,821.4304335574501,743.4922701683342,0.07514450867052024,0.4624277456647399
54,8.0,843.1698318216455,747.5758787479742,0.10256410256410256,0.3129973474801061
54,16.0,802.2009947900721,774.8884367690232,0.16129032258064516,0.6785714285714286
54,32.0,802.2009947900721,774.8884367690232,0.12034383954154727,0.7392550143266475
55,8.0,807.2351607449416,750.3726376117907,0.2315405651777575,0.3072014585232452
55,16.0,807.2351607449416,736.1570068285029,0.1348314606741573,0.2943820224719101
55,32.0,793.0195299616539,736.1570068285029,0.11570247933884298,0.4022038567493113
56,8.0,808.4376137335607,746.66370810092,0.2136089577950043,0.28251507321274766
56,16.0,777.5506609172403,762.1071845090801,0.3010869565217391,0.5706521739130435
56,32.0,808.4376137335607,746.66370810092,0.09876543209876543,0.4845679012345679
