iter,emin,light,heavy,frac_l,frac_h
0,8.0,805.3164074548774,749.6337948862553,0.17183676691135844,0.3830610150761702
0,16.0,805.3164074548774,749.6337948862553,0.10245387784345333,0.5000895575855275
0,32.0,786.75553659867,731.072924030048,0.08310819503409238,0.47523478708349415
1,8.0,804.2924067021622,751.7681949427026,0.177428321817171,0.4017949328885712
1,16.0,804.2924067021622,751.7681949427026,0.10873234431909035,0.516922803588878
1,32.0,786.7843361156757,734.260124356216,0.08711632705700284,0.5127031209698221
2,8.0,797.37252954484,756.220351945656,0.21652084811224087,0.449751714353275
2,16.0,797.37252954484,742.5029594125947,0.12992410552945427,0.4177809902421395
2,32.0,783.6551370117786,728.7855668795335,0.09717257068573286,0.44439389015274616
3,8.0,798.8769341137712,746.8183715974149,0.20265806857502358,0.356951871657754
3,16.0,798.8769341137712,746.8183715974149,0.12009978617248752,0.4656985032074127
3,32.0,781.5240799416524,729.4655174252961,0.10345722254653954,0.45196860608419276
4,8.0,787.2065945634926,744.8876686179285,0.2825541261374333,0.3300909946658299
4,16.0,787.2065945634926,744.8876686179285,0.17995708921866618,0.4397461112104416
4,32.0,787.2065945634926,723.7282056451465,0.08233231608337122,0.38387117719628594
5,8.0,783.2548107135021,753.8359960923659,0.30714957666980247,0.42481969269363434
5,16.0,797.9642180240702,753.8359960923659,0.1282736504543025,0.5478353821485836
5,32.0,783.2548107135021,724.4171814712297,0.09891254802370254,0.3836035684052875
6,8.0,797.0536399285578,751.089158100289,0.22239214423696071,0.3963296844816484
6,16.0,797.0536399285578,751.089158100289,0.1357970117584652,0.5137476792502873
6,32.0,781.7321459858015,735.7676641575326,0.10601587613986747,0.5329659515843338
7,8.0,795.5051228060388,746.1996491047607,0.2244865966452422,0.3513089825991535
7,16.0,795.5051228060388,746.1996491047607,0.1391139924365208,0.45723032594993696
7,32.0,795.5051228060388,729.7644912043347,0.06114023591087811,0.45517693315858454
8,8.0,801.5116819839742,758.4712428223785,0.19164619164619165,0.4758658952207339
8,16.0,801.5116819839742,736.9510232415806,0.11692719964269763,0.3448861098704779
8,32.0,779.9914624031763,736.9510232415806,0.11502301757115996,0.5388705180574467
9,8.0,790.6103879524246,745.0896685357559,0.25217391304347825,0.3402371541501976
9,16.0,790.6103879524246,745.0896685357559,0.16005302695536897,0.4489615554573575
9,32.0,790.6103879524246,729.9160953968664,0.07403808783521182,0.45951548127995856
10,8.0,799.3463550773586,737.5029102493,0.20306603773584905,0.2613993710691824
10,16.0,799.3463550773586,737.5029102493,0.11702223422450266,0.3579080025204789
10,32.0,783.8854938703439,737.5029102493,0.09289759781264241,0.5567345875919536
11,8.0,813.1193765802632,742.9760983139934,0.14143395042359586,0.3126764982742391
11,16.0,795.5835570136957,742.9760983139934,0.13873873873873874,0.4227927927927928
11,32.0,795.5835570136957,725.440278747426,0.06011530737837663,0.3990412644943966
12,8.0,796.318213653137,744.3780585665188,0.2198255352894528,0.31950832672482155
12,16.0,796.318213653137,744.3780585665188,0.13437134371343715,0.43641436414364143
12,32.0,779.0048286242643,727.064673537646,0.11125476759971556,0.42355679100135757
13,8.0,796.6602417883372,744.7770913909189,0.22281333124706618,0.3355499921764982
13,16.0,796.6602417883372,744.7770913909189,0.1347498655190963,0.44064909449524836
13,32.0,796.6602417883372,727.4827079251128,0.05893425066528202,0.42616992276238075
14,8.0,791.170584046616,747.2067249734864,0.25066834407925775,0.3605126592231483
14,16.0,791.170584046616,747.2067249734864,0.1560875022413484,0.4735520889367043
14,32.0,791.170584046616,725.2247954369217,0.07148407148407149,0.3986661486661487
15,8.0,813.4541265007745,749.9973413451734,0.13801299318649976,0.38646807162097924
15,16.0,797.5899302118742,749.9973413451734,0.1362700331274062,0.49780642850747603
15,32.0,781.7257339229739,734.1331450562731,0.10334210019885817,0.5141445891333633
16,8.0,795.0487162425782,756.6434813058759,0.2288388923851479,0.45036186280679674
16,16.0,795.0487162425782,756.6434813058759,0.14486601220482886,0.5725656672857522
16,32.0,795.0487162425782,737.4408638375247,0.0623147312798041,0.5520041242428148
17,8.0,798.7562518633032,752.7142992302422,0.20611827618748033,0.41483170808430325
17,16.0,798.7562518633032,752.7142992302422,0.12403448895275732,0.5344889527573199
17,32.0,783.4089343189495,722.0196641415348,0.09707602339181287,0.35490578297595843
18,8.0,801.9158138166006,748.9955032428807,0.19074322723323592,0.3805386620330148
18,16.0,801.9158138166006,748.9955032428807,0.11330357142857143,0.4965178571428571
18,32.0,784.2757102920273,731.3553997183074,0.09337231968810916,0.4762833008447043
19,8.0,794.5067834802201,750.7317748809818,0.22868677273806698,0.3954721760468614
19,16.0,794.5067834802201,750.7317748809818,0.14652213188798555,0.5131887985546522
19,32.0,794.5067834802201,721.5484358148229,0.0624061622821333,0.3531562112409426
20,8.0,790.3647039710617,748.3615889662545,0.25670854661082676,0.3689312858693966
20,16.0,790.3647039710617,748.3615889662545,0.15977073258104962,0.484775210460326
20,32.0,790.3647039710617,727.3600314638509,0.07756936303243454,0.4275107463853068
21,8.0,813.0671862476622,750.5720879906846,0.1409433659553987,0.3925878389218675
21,16.0,797.4434116834178,750.5720879906846,0.12606115928799635,0.5140118667275216
21,32.0,781.8196371191734,734.9483134264403,0.10176705791306591,0.5226363988133625
22,8.0,788.1294876513094,745.1793273766154,0.2773977926317426,0.33740090160111924
22,16.0,788.1294876513094,745.1793273766154,0.17740354628887106,0.4470284237726098
22,32.0,788.1294876513094,723.7042472392684,0.07994833710041976,0.3797223119147562
23,8.0,801.1351219512657,747.8945241359478,0.1948584496490813,0.3637725731409195
23,16.0,801.1351219512657,747.8945241359478,0.11667105609691862,0.4777455886225968
23,32.0,783.3882560128263,730.1476581975085,0.09292929292929293,0.47174975562072335
24,8.0,800.2260998508023,751.7547877711254,0.1992246222011235,0.40216789302951184
24,16.0,800.2260998508023,751.7547877711254,0.12351796142275703,0.5183153424172713
24,32.0,784.0689958242433,735.5976837445664,0.09727118422770596,0.5289855072463768
25,8.0,811.67073380599,741.9558137196708,0.13995029512270893,0.30723827275551413
25,16.0,794.2420037844103,741.9558137196708,0.1478898426323319,0.40763590844062947
25,32.0,794.2420037844103,724.527083698091,0.06633250878791824,0.3860825413357636
26,8.0,800.6006439609067,747.4611384112378,0.19675818210020166,0.3614084070110129
26,16.0,800.6006439609067,747.4611384112378,0.11595497587993568,0.4708772556726818
26,32.0,800.6006439609067,729.7479698946815,0.05405579123280627,0.4577066460984702
27,8.0,809.9950082644164,748.7287812007371,0.14632041424760708,0.3763533657618076
27,16.0,794.6784514984965,748.7287812007371,0.14515545914678235,0.4864425162689805
27,32.0,779.3618947325767,733.4122244348173,0.10966158615344872,0.5011624903125808
28,8.0,797.3772409570797,750.5279741731259,0.21367656348704991,0.39450410612760584
28,16.0,797.3772409570797,750.5279741731259,0.1312533620225928,0.5075309306078537
28,32.0,781.7608186957618,734.911551911808,0.1010600706713781,0.5211692900738837
29,8.0,802.9321311395898,739.4950080616508,0.18802671330895213,0.283987915407855
29,16.0,787.072850370105,755.3542888311356,0.17782407826795907,0.5655403569163874
29,32.0,771.2135696006203,739.4950080616508,0.14798610217475228,0.5822931411658732
30,8.0,812.1962779268935,748.1802549051004,0.1496213630928657,0.3672379434037465
30,16.0,790.8576035862958,748.1802549051004,0.15853332143813006,0.4889820679810866
30,32.0,790.8576035862958,726.8415805645027,0.077493870176797,0.4211511162730675
31,8.0,793.4807783926146,745.9439005678728,0.23995308835027365,0.34214229867083656
31,16.0,793.4807783926146,745.9439005678728,0.1463219616204691,0.4575337597725657
31,32.0,777.6351524510341,730.0982746262922,0.11849412372465452,0.46190107193594215
32,8.0,792.7297932592644,746.7572500434335,0.2422427871529668,0.3546932109806361
32,16.0,792.7297932592644,746.7572500434335,0.14851396246745083,0.4688874921433061
32,32.0,792.7297932592644,731.4330689714898,0.06919253856580392,0.4792486929581101
33,8.0,801.5116819839742,736.9510232415806,0.19829073231927238,0.251685745648424
33,16.0,779.9914624031763,758.4712428223785,0.22268204631504798,0.5951395615039183
33,32.0,779.9914624031763,736.9510232415806,0.10678851174934725,0.5427545691906005
34,8.0,803.4596302398902,738.0641365306756,0.18425196850393702,0.2711811023622047
34,16.0,803.4596302398902,738.0641365306756,0.1123282751189728,0.3624854089970369
