iter,emin,light,heavy,frac_l,frac_h
0,4.0,[818.8524],[744.07886],[0.15699208],[0.28644459]
0,8.0,[788.943],[744.07886],[0.28281853],[0.35135135]
0,16.0,[773.9883],[729.12415],[0.2891791],[0.27425373]
0,32.0,[773.9883],[729.12415],[0.12676056],[0.48591549]
1,4.0,[807.68896],[748.6284],[0.21084822],[0.3228714]
1,8.0,[778.1587],[748.6284],[0.3467118],[0.3844294]
1,16.0,[778.1587],[733.8632],[0.26443203],[0.34078212]
1,32.0,[763.39355],[748.6284],[0.26086957],[0.63043478]
2,4.0,[782.388],[746.9575],[0.38162544],[0.30693864]
2,8.0,[817.81854],[746.9575],[0.13934023],[0.35352043]
2,16.0,[782.388],[729.24225],[0.26796117],[0.27378641]
2,32.0,[764.6728],[746.9575],[0.25925926],[0.58518519]
3,4.0,[796.9452],[751.1963],[0.28203022],[0.35003285]
3,8.0,[796.9452],[735.9466],[0.20999519],[0.26429601]
3,16.0,[796.9452],[735.9466],[0.18165138],[0.36146789]
3,32.0,[766.4459],[720.69696],[0.23846154],[0.31538462]
4,4.0,[815.10065],[742.86316],[0.17372047],[0.2765748]
4,8.0,[786.2057],[742.86316],[0.30902111],[0.31957774]
4,16.0,[786.2057],[728.4157],[0.22485207],[0.26035503]
4,32.0,[771.7582],[713.9682],[0.20155039],[0.41085271]
5,4.0,[794.6357],[743.062],[0.30138531],[0.27448454]
5,8.0,[794.6357],[743.062],[0.23781959],[0.32802701]
5,16.0,[777.44446],[725.8708],[0.26746507],[0.30938124]
5,32.0,[777.44446],[708.67957],[0.14393939],[0.28030303]
6,4.0,[799.48157],[752.17725],[0.26662267],[0.35307705]
6,8.0,[783.71344],[736.4091],[0.32302405],[0.25969563]
6,16.0,[783.71344],[736.4091],[0.24953789],[0.3715342]
6,32.0,[783.71344],[720.641],[0.06956522],[0.42608696]
7,4.0,[800.96704],[752.838],[0.2559311],[0.36594085]
7,8.0,[784.9241],[736.79504],[0.30370722],[0.26758555]
7,16.0,[768.88104],[752.838],[0.33695652],[0.54166667]
7,32.0,[768.88104],[720.752],[0.20149254],[0.38059701]
8,4.0,[801.9342],[744.9787],[0.24816686],[0.29216229]
8,8.0,[773.4565],[744.9787],[0.39723414],[0.34430138]
8,16.0,[773.4565],[730.73987],[0.31213873],[0.3044316]
8,32.0,[773.4565],[730.73987],[0.17985612],[0.49640288]
9,4.0,[796.9226],[745.32745],[0.27521424],[0.2968029]
9,8.0,[796.9226],[732.42865],[0.22265625],[0.22412109]
9,16.0,[758.2262],[732.42865],[0.40480591],[0.32162662]
9,32.0,[771.125],[745.32745],[0.192],[0.592]
10,4.0,[814.2295],[735.0888],[0.18294675],[0.20712186]
10,8.0,[798.40137],[735.0888],[0.22618466],[0.25647289]
10,16.0,[766.7451],[735.0888],[0.4],[0.30377358]
10,32.0,[782.57324],[735.0888],[0.21212121],[0.43181818]
11,4.0,[807.4537],[741.5586],[0.21220243],[0.26249409]
11,8.0,[807.4537],[741.5586],[0.18594848],[0.33442623]
11,16.0,[774.5061],[741.5586],[0.29961832],[0.39312977]
11,32.0,[758.03235],[725.0848],[0.27272727],[0.45454545]
12,4.0,[818.8743],[750.7411],[0.15568766],[0.34383033]
12,8.0,[784.8077],[733.70776],[0.30352046],[0.24833492]
12,16.0,[784.8077],[750.7411],[0.25408348],[0.51905626]
12,32.0,[767.7744],[716.67444],[0.24626866],[0.35820896]
13,4.0,[797.53735],[739.42065],[0.27369593],[0.24125318]
13,8.0,[812.0665],[739.42065],[0.15182482],[0.29878345]
13,16.0,[797.53735],[739.42065],[0.13547237],[0.37611408]
13,32.0,[797.53735],[724.89154],[0.08208955],[0.47014925]
14,4.0,[808.28937],[741.7327],[0.20462948],[0.26699887]
14,8.0,[791.6502],[741.7327],[0.25815342],[0.30730363]
14,16.0,[775.01105],[741.7327],[0.30727273],[0.37090909]
14,32.0,[758.3719],[725.09357],[0.35897436],[0.36752137]
15,4.0,[790.0233],[740.451],[0.3221379],[0.2472146]
15,8.0,[790.0233],[740.451],[0.26816444],[0.29541109]
15,16.0,[773.4992],[756.9751],[0.29925651],[0.54089219]
15,32.0,[773.4992],[756.9751],[0.22377622],[0.64335664]
16,4.0,[803.03046],[746.2063],[0.23534162],[0.30851236]
16,8.0,[788.82446],[746.2063],[0.28201572],[0.3569117]
16,16.0,[774.6184],[746.2063],[0.31589147],[0.45348837]
16,32.0,[760.41235],[717.7942],[0.25],[0.39423077]
17,4.0,[807.3091],[749.4215],[0.22513004],[0.3226593]
17,8.0,[792.83716],[734.94965],[0.24091129],[0.2472128]
17,16.0,[792.83716],[734.94965],[0.203125],[0.37152778]
17,32.0,[749.4215],[734.94965],[0.40136054],[0.51020408]
18,4.0,[802.5227],[747.0996],[0.24525834],[0.31033355]
18,8.0,[802.5227],[733.24384],[0.1812357],[0.24347826]
18,16.0,[774.81116],[747.0996],[0.30975143],[0.44933078]
18,32.0,[760.9554],[747.0996],[0.27480916],[0.59541985]
19,4.0,[811.8595],[739.3172],[0.18944408],[0.24387823]
19,8.0,[782.8426],[739.3172],[0.31833099],[0.27988748]
19,16.0,[782.8426],[739.3172],[0.23063683],[0.37693632]
19,32.0,[782.8426],[724.8087],[0.22881356],[0.41525424]
20,4.0,[811.3651],[739.06995],[0.19237066],[0.2400131]
20,8.0,[793.2913],[739.06995],[0.2438113],[0.28865016]
20,16.0,[757.14374],[739.06995],[0.43548387],[0.39605735]
20,32.0,[757.14374],[739.06995],[0.31468531],[0.55244755]
21,4.0,[808.12067],[750.5559],[0.21673065],[0.33525272]
21,8.0,[779.3383],[750.5559],[0.3362069],[0.39319923]
21,16.0,[779.3383],[736.16473],[0.26371681],[0.34513274]
21,32.0,[779.3383],[736.16473],[0.18571429],[0.54285714]
22,4.0,[819.2152],[746.3345],[0.15945513],[0.30128205]
22,8.0,[790.0629],[746.3345],[0.28798411],[0.35253227]
22,16.0,[790.0629],[731.7583],[0.21330724],[0.28180039]
22,32.0,[804.63904],[717.1821],[0.07317073],[0.32520325]
23,4.0,[806.8389],[749.0342],[0.20930233],[0.3285087]
23,8.0,[792.3877],[734.583],[0.24762357],[0.25570342]
23,16.0,[777.9365],[734.583],[0.28277154],[0.35580524]
23,32.0,[763.48535],[720.13184],[0.325],[0.35833333]
24,4.0,[805.9318],[738.85126],[0.22130751],[0.23518967]
24,8.0,[789.1617],[738.85126],[0.26410621],[0.28639165]
24,16.0,[805.9318],[738.85126],[0.13627639],[0.40882917]
24,32.0,[772.39154],[755.6214],[0.2406015],[0.66165414]
25,4.0,[801.209],[738.5203],[0.24983766],[0.24399351]
25,8.0,[801.209],[722.8482],[0.20707071],[0.14242424]
25,16.0,[769.8646],[738.5203],[0.35316699],[0.38387716]
25,32.0,[754.1925],[722.8482],[0.31746032],[0.36507937]
26,4.0,[829.379],[742.29236],[0.11902022],[0.26401447]
26,8.0,[794.5444],[742.29236],[0.24715769],[0.32525952]
26,16.0,[759.7097],[742.29236],[0.4112478],[0.42003515]
26,32.0,[777.127],[724.875],[0.14473684],[0.46710526]
27,4.0,[816.42053],[731.37946],[0.16948871],[0.18260292]
27,8.0,[788.07355],[745.553],[0.28644383],[0.36815227]
27,16.0,[773.9],[731.37946],[0.28598848],[0.31861804]
27,32.0,[788.07355],[717.20593],[0.17054264],[0.34883721]
28,4.0,[807.1163],[741.1462],[0.22186287],[0.26536223]
28,8.0,[774.1312],[741.1462],[0.3676542],[0.29237494]
28,16.0,[790.6238],[741.1462],[0.20159681],[0.39121756]
28,32.0,[741.1462],[724.6537],[0.42142857],[0.43571429]
29,4.0,[818.11566],[734.0374],[0.15751212],[0.1996769]
29,8.0,[801.30005],[734.0374],[0.19256757],[0.24565637]
29,16.0,[767.6687],[734.0374],[0.37875752],[0.32665331]
29,32.0,[767.6687],[734.0374],[0.20634921],[0.48412698]
30,4.0,[806.3139],[748.5406],[0.22734628],[0.32783172]
30,8.0,[820.75726],[719.65393],[0.11132812],[0.12744141]
30,16.0,[762.9839],[734.0972],[0.40322581],[0.34050179]
30,32.0,[762.9839],[719.65393],[0.23966942],[0.36363636]
31,4.0,[814.6269],[743.1988],[0.18162636],[0.26440513]
31,8.0,[800.34125],[728.91315],[0.18945869],[0.2008547]
31,16.0,[757.4844],[743.1988],[0.42168675],[0.42340792]
31,32.0,[757.4844],[728.91315],[0.27906977],[0.48062016]
32,4.0,[813.6859],[738.1334],[0.17593512],[0.24246938]
32,8.0,[783.4649],[753.24396],[0.32052484],[0.42689784]
32,16.0,[783.4649],[738.1334],[0.27307692],[0.35961538]
32,32.0,[753.24396],[738.1334],[0.27731092],[0.62184874]
33,4.0,[800.76],[741.21106],[0.25285854],[0.26592617]
33,8.0,[800.76],[741.21106],[0.21317073],[0.30829268]
33,16.0,[770.98553],[741.21106],[0.34824903],[0.37159533]
33,32.0,[770.98553],[726.3238],[0.22764228],[0.40650407]
34,4.0,[823.08417],[737.0498],[0.14078709],[0.21817882]
34,8.0,[794.40607],[737.0498],[0.23572744],[0.27348066]
34,16.0,[765.7279],[751.38885],[0.39305302],[0.48994516]
34,32.0,[794.40607],[722.71075],[0.12230216],[0.39568345]
35,4.0,[807.9624],[742.18036],[0.21373922],[0.26697054]
35,8.0,[791.5169],[742.18036],[0.24416433],[0.32959851]
35,16.0,[791.5169],[758.62585],[0.20512821],[0.54029304]
35,32.0,[775.0714],[742.18036],[0.2],[0.65714286]
36,4.0,[816.5242],[745.3755],[0.16338259],[0.29917898]
36,8.0,[798.73694],[727.5883],[0.20861244],[0.2]
36,16.0,[763.16266],[745.3755],[0.41818182],[0.41272727]
36,32.0,[780.9498],[727.5883],[0.15942029],[0.42753623]
37,4.0,[808.2245],[742.5006],[0.20490998],[0.27315876]
37,8.0,[775.36255],[742.5006],[0.37360505],[0.31392528]
37,16.0,[775.36255],[726.06964],[0.29349736],[0.25483304]
37,32.0,[775.36255],[709.63873],[0.140625],[0.265625]
38,4.0,[798.10785],[752.8974],[0.26876632],[0.35704961]
38,8.0,[783.0377],[752.8974],[0.31839847],[0.41706387]
38,16.0,[798.10785],[737.8273],[0.17992424],[0.35416667]
38,32.0,[798.10785],[722.75714],[0.13970588],[0.43382353]
39,4.0,[816.9635],[745.9125],[0.16341903],[0.29818241]
39,8.0,[781.438],[763.67523],[0.33458119],[0.51988769]
39,16.0,[799.20074],[745.9125],[0.16755793],[0.43493761]
39,32.0,[763.67523],[728.1497],[0.23648649],[0.47297297]
40,4.0,[826.78925],[735.82135],[0.12720848],[0.21185352]
40,8.0,[781.3053],[735.82135],[0.32187645],[0.27775197]
40,16.0,[781.3053],[735.82135],[0.29111531],[0.34404537]
40,32.0,[766.144],[735.82135],[0.24409449],[0.59055118]
41,4.0,[813.85065],[738.3466],[0.18552261],[0.22809342]
41,8.0,[798.7499],[753.44745],[0.22488976],[0.43704067]
41,16.0,[783.64905],[738.3466],[0.25352113],[0.40316901]
41,32.0,[783.64905],[738.3466],[0.29770992],[0.51145038]
42,4.0,[817.1295],[738.84186],[0.16060999],[0.23475016]
42,8.0,[801.472],[738.84186],[0.20346535],[0.28960396]
42,16.0,[785.81445],[738.84186],[0.23092784],[0.37938144]
42,32.0,[801.472],[723.1843],[0.10294118],[0.38235294]
43,4.0,[800.82837],[743.8005],[0.24461364],[0.28284465]
43,8.0,[800.82837],[729.5435],[0.21690141],[0.22300469]
43,16.0,[786.57135],[743.8005],[0.27240773],[0.37785589]
43,32.0,[758.05743],[715.2865],[0.3220339],[0.3220339]
44,4.0,[813.27563],[744.8327],[0.1840589],[0.28569142]
44,8.0,[779.0542],[744.8327],[0.35447394],[0.36529007]
44,16.0,[779.0542],[744.8327],[0.27606178],[0.43436293]
44,32.0,[779.0542],[744.8327],[0.16666667],[0.58730159]
45,4.0,[789.7562],[747.252],[0.33764554],[0.31241915]
45,8.0,[789.7562],[733.0839],[0.25330813],[0.24102079]
45,16.0,[775.58813],[747.252],[0.33771107],[0.43527205]
45,32.0,[747.252],[733.0839],[0.43220339],[0.48305085]
46,4.0,[795.21124],[745.13025],[0.28870361],[0.29785843]
46,8.0,[778.5176],[745.13025],[0.36056066],[0.33494442]
46,16.0,[778.5176],[745.13025],[0.24144144],[0.48828829]
46,32.0,[745.13025],[711.74286],[0.31468531],[0.32867133]
47,4.0,[817.5169],[739.34314],[0.16012966],[0.23938412]
47,8.0,[786.24744],[739.34314],[0.29475767],[0.3090999]
47,16.0,[770.6127],[739.34314],[0.35531136],[0.38278388]
47,32.0,[770.6127],[723.7084],[0.25757576],[0.36363636]
48,4.0,[820.2965],[730.0433],[0.14958039],[0.16998519]
48,8.0,[802.24585],[748.0939],[0.20085066],[0.3936673]
48,16.0,[784.1952],[748.0939],[0.26678766],[0.45916515]
48,32.0,[784.1952],[748.0939],[0.15503876],[0.6124031]
49,4.0,[812.11456],[750.85095],[0.19002106],[0.34100113]
49,8.0,[781.4828],[735.53503],[0.33057045],[0.2662116]
49,16.0,[766.1669],[735.53503],[0.38631791],[0.34808853]
49,32.0,[796.79865],[704.9032],[0.07246377],[0.16666667]
50,4.0,[802.1942],[746.488],[0.23898553],[0.2981629]
50,8.0,[816.1207],[732.5614],[0.14487117],[0.21536218]
50,16.0,[788.26764],[732.5614],[0.19419238],[0.31941924]
50,32.0,[760.4145],[718.6348],[0.22764228],[0.39837398]
51,4.0,[799.19366],[738.88904],[0.26180397],[0.23852165]
51,8.0,[799.19366],[738.88904],[0.20412075],[0.29899377]
51,16.0,[769.0414],[738.88904],[0.3960396],[0.37227723]
51,32.0,[753.9652],[738.88904],[0.30656934],[0.55474453]
52,4.0,[801.7232],[747.4887],[0.24983681],[0.32229112]
52,8.0,[783.645],[747.4887],[0.31362725],[0.38627255]
52,16.0,[765.5669],[747.4887],[0.36619718],[0.5]
52,32.0,[801.7232],[711.3324],[0.10169492],[0.3220339]
53,4.0,[815.9524],[738.77905],[0.17434211],[0.23305921]
53,8.0,[800.51776],[738.77905],[0.21343284],[0.28059701]
53,16.0,[785.08307],[738.77905],[0.238],[0.39]
53,32.0,[769.6484],[723.34436],[0.24031008],[0.41085271]
